Day,Shift,Period 1,2,3,4,5,6,7,8
23-Jun,1,,,,,,,,
23-Jun,2,,,,,,,,
23-Jun,3,,,,,,,,
24-Jun,1,,,,,,,,
24-Jun,2,,,,,,,,
24-Jun,3,,,,,,,,
25-Jun,1,,,,,,,,
25-Jun,2,,,,,,,,
25-Jun,3,,,,,,,,
26-Jun,1,,,,,,,,
26-Jun,2,,,,,,,,
26-Jun,3,,,,,,,,
27-Jun,1,,,,,,,,
27-Jun,2,,,,,,,,
27-Jun,3,,,,,,,,
28-Jun,1,,,,,,,,
28-Jun,2,,,,,,,,
28-Jun,3,,,,,,,,
29-Jun,1,,,,,,,,
29-Jun,2,,,,,,,,
29-Jun,3,,,,,,,,
30-Jun,1,,,,,,,,
30-Jun,2,,,,0,0,0,0,0
30-Jun,3,0,0,0,0,0,0,0,0
1-Jul,1,0,0,0,0,0,0,0,0
1-Jul,2,0,0,0,0,0,0,0,0
1-Jul,3,0,0,0,0,0,0,0,0
2-Jul,1,0,0,0,0,0,0,0,0
2-Jul,2,0,0,0,0,0,0,0,0
2-Jul,3,2,0,0,0,0,0,0,0
3-Jul,1,0,0,0,0,0,0,0,0
3-Jul,2,0,0,0,1,0,0,0,0
3-Jul,3,1,0,0,0,0,0,0,2
4-Jul,1,0,1,0,0,1,0,0,0
4-Jul,2,0,0,0,0,0,0,0,0
4-Jul,3,0,0,1,1,0,1,0,0
5-Jul,1,0,0,0,0,0,0,0,0
5-Jul,2,2,0,0,1,,0,0,
5-Jul,3,,2,2,0,0,0,1,0
6-Jul,1,0,0,0,1,0,0,0,0
6-Jul,2,0,0,1,0,0,0,0,0
6-Jul,3,0,0,0,0,0,0,0,0
7-Jul,1,0,,,0,0,0,0,0
7-Jul,2,0,0,1,1,0,0,0,0
7-Jul,3,1,0,0,0,2,1,0,0
8-Jul,1,,,,,,,,
8-Jul,2,0,0,0,0,3,0,0,0
8-Jul,3,0,,0,0,1,0,0,1
9-Jul,1,0,0,0,0,,0,0,1
9-Jul,2,0,0,0,0,1,0,2,0
9-Jul,3,2,0,0,0,0,0,0,1
10-Jul,1,0,0,1,1,1,0,0,0
10-Jul,2,,0,0,0,0,1,0,0
10-Jul,3,,,,,,,,
11-Jul,1,,,,,,,,
11-Jul,2,,,,,,,,
11-Jul,3,,,,,,,,
12-Jul,1,,,,,,,,
12-Jul,2,,,,,,,,
12-Jul,3,,,,,,,,
13-Jul,1,,,,,,,,
13-Jul,2,,,,,,,,
13-Jul,3,,,,,,,,
14-Jul,1,,,,,,,,
14-Jul,2,0,0,0,1,0,,1,0
14-Jul,3,0,1,2,1,1,1,0,1
15-Jul,1,1,1,1,2,1,2,0,0
15-Jul,2,1,0,1,0,1,0,1,0
15-Jul,3,1,0,1,2,0,2,2,1
16-Jul,1,1,0,1,1,2,0,1,0
16-Jul,2,0,0,0,0,0,0,0,1
16-Jul,3,0,1,0,0,0,3,1,0
17-Jul,1,0,2,2,2,2,0,0,2
17-Jul,2,1,1,0,0,0,0,0,0
17-Jul,3,0,0,1,0,0,0,1,0
18-Jul,1,3,0,-1,1,1,0,0,0
18-Jul,2,0,0,1,2,2,0,0,
18-Jul,3,0,,1,1,2,1,0,0
19-Jul,1,2,3,1,1,2,2,0,0
19-Jul,2,2,1,0,1,0,1,0,0
19-Jul,3,0,0,,0,,,0,
20-Jul,1,0,0,,1,0,1,0,1
20-Jul,2,0,0,1,0,0,1,0,3
20-Jul,3,,,1,2,1,0,0,3
21-Jul,1,0,1,0,2,3,2,1,0
21-Jul,2,0,1,0,4,2,1,2,1
21-Jul,3,2,-1,0,1,0,0,0,3
22-Jul,1,3,0,2,1,0,1,2,1
22-Jul,2,1,1,0,0,0,0,0,0
22-Jul,3,0,3,0,2,1,2,0,1
23-Jul,1,0,2,2,0,0,0,0,0
23-Jul,2,1,0,0,0,0,0,0,1
23-Jul,3,1,2,0,0,0,0,-1,1
24-Jul,1,1,2,1,3,1,1,1,0
24-Jul,2,0,0,0,0,0,3,0,0
24-Jul,3,0,0,1,1,1,3,0,0
25-Jul,1,0,2,1,0,1,1,0,0
25-Jul,2,0,1,1,0,0,0,2,0
25-Jul,3,0,0,3,0,0,0,0,2
26-Jul,1,0,0,1,0,0,1,0,0
26-Jul,2,0,0,0,0,1,0,0,0
26-Jul,3,0,-1,0,1,2,1,2,0
27-Jul,1,1,0,0,0,1,0,0,2
27-Jul,2,0,0,0,0,0,0,0,
27-Jul,3,,,,,,,,
28-Jul,1,0,0,0,1,1,2,2,0
28-Jul,2,1,7,0,1,0,0,1,4
28-Jul,3,1,1,0,1,0,2,0,0
29-Jul,1,0,,,,0,,7,3
29-Jul,2,0,-1,0,0,0,0,,
29-Jul,3,,,,,,,,
30-Jul,1,,,,,,,,
30-Jul,2,,,,,,,,
30-Jul,3,,,,,,,,
31-Jul,1,,,,,,,,
31-Jul,2,,,,,,,,
31-Jul,3,,,,,,,,
1-Aug,1,,,,,,,,
1-Aug,2,,,,,,,,
1-Aug,3,,,,,,,,
2-Aug,1,,,,,,,,
2-Aug,2,,,,,,,,
2-Aug,3,,,,,,,,
3-Aug,1,,,,,,,,
3-Aug,2,,,,,,,,
3-Aug,3,,,,,,,,
4-Aug,1,,,,,,,,
4-Aug,2,,,,,,,,
4-Aug,3,,,,,,,,
5-Aug,1,,,,,,,,
5-Aug,2,,,,,,,,
5-Aug,3,,,,,,,,
6-Aug,1,,,,,,,,
6-Aug,2,,,,,,,,
6-Aug,3,,,,,,,,
7-Aug,1,,,,,,,,
7-Aug,2,,,,,,,,
7-Aug,3,,,,,,,,
8-Aug,1,,,,,,,,
8-Aug,2,,,,,,,,
8-Aug,3,,,,,,,,
9-Aug,1,0,0,0,0,0,,,0
9-Aug,2,,,,,,,,
9-Aug,3,,,,,,,,
10-Aug,1,0,0,0,0,0,0,0,0
10-Aug,2,,,,,,,,
10-Aug,3,0,0,,,0,0,0,0
11-Aug,1,,,,,,,,
11-Aug,2,,,,,,,,
11-Aug,3,0,0,0,0,0,0,0,0
12-Aug,1,,,,,,,,
12-Aug,2,,,,,,,,
12-Aug,3,,,,,,,,
13-Aug,1,,,,,,,,
13-Aug,2,,,,,,,,
13-Aug,3,,,,,,,,
14-Aug,1,,,,,,,,
14-Aug,2,,,,,,,,
14-Aug,3,,,,,,,,
15-Aug,1,,,,,,,,
15-Aug,2,,,,,,,,
15-Aug,3,,,,,,,,
16-Aug,1,,,,,,,,
16-Aug,2,,,,,,,,
16-Aug,3,,,,,,,,
17-Aug,1,,,,,,,,
17-Aug,2,,,,,,,,
17-Aug,3,,,,,,,,
18-Aug,1,,,,,,,,
18-Aug,2,,,,,,,,
18-Aug,3,,,,,,,,
19-Aug,1,,,,,,,,
19-Aug,2,,,,,,,,
19-Aug,3,,,,,,,,
20-Aug,1,,,,,,,,
20-Aug,2,,,,,,,,
20-Aug,3,,,,,,,,
21-Aug,1,,,,,,,,
21-Aug,2,,,,,,,,
21-Aug,3,,,,,,,,
