Day,Shift,Period 1,2,3,4,5,6,7,8,Sydij,Sydi,mdi,md,Mdi,Md,hdi,hd,Hd,Ydi=Mdi/mdi*Sydij,Yd(avg)=SYdi/hd,N^d=Yd(avg)*Hd,,,,(ydij - ydij-1)2,,,,S(RDS)2,s22di,(Ydi - Yd (avg))2,s21d,f1d,(1-f1d)Hd2s1d2/hd,f2di,Mdi2(1-f2di)s2di2/mdi,var(Nd),se,cv
23-Jun,1,,,,,,,,,0,,0,,24,,0,,,0,,,0,0,0,0,0,0,0,0,0,0, ,,,0,0,,,
23-Jun,2,,,,,,,,,0,,0,,24,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,,,
23-Jun,3,,,,,,,,,0,0,0,0,24,72,0,0,3,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A
24-Jun,1,,,,,,,,,0,,0,,24,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,,,
24-Jun,2,,,,,,,,,0,,0,,24,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,,,
24-Jun,3,,,,,,,,,0,0,0,0,24,72,0,0,3,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A
25-Jun,1,,,,,,,,,0,,0,,24,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,,,
25-Jun,2,,,,,,,,,0,,0,,24,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,,,
25-Jun,3,,,,,,,,,0,0,0,0,24,72,0,0,3,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A
26-Jun,1,,,,,,,,,0,,0,,24,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,,,
26-Jun,2,,,,,,,,,0,,0,,24,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,,,
26-Jun,3,,,,,,,,,0,0,0,0,24,72,0,0,3,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A
27-Jun,1,,,,,,,,,0,,0,,24,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,,,
27-Jun,2,,,,,,,,,0,,0,,24,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,,,
27-Jun,3,,,,,,,,,0,0,0,0,24,72,0,0,3,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A
28-Jun,1,,,,,,,,,0,,0,,24,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,,,
28-Jun,2,,,,,,,,,0,,0,,24,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,,,
28-Jun,3,,,,,,,,,0,0,0,0,24,72,0,0,3,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A
29-Jun,1,,,,,,,,,0,,0,,24,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,,,
29-Jun,2,,,,,,,,,0,,0,,24,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,,,
29-Jun,3,,,,,,,,,0,0,0,0,24,72,0,0,3,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A
30-Jun,1,,,,,,,,,0,,0,,24,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,,,
30-Jun,2,,,,,,,,,0,,0,,24,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,,,
30-Jun,3,,,,,,,,,0,0,0,0,24,72,0,0,3,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A
1-Jul,1,,,,,,,,,0,,0,,24,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,,,
1-Jul,2,,,,,,,,,0,,0,,24,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,,,
1-Jul,3,,,,,,,,,0,0,0,0,24,72,0,0,3,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A
2-Jul,1,,,,,,,,,0,,0,,24,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,,,
2-Jul,2,,,,,,,,,0,,0,,24,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,,,
2-Jul,3,,,,,,,,,0,0,0,0,24,72,0,0,3,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A
3-Jul,1,0,0,0,0,0,0,0,0,0,,8,,24,,1,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,0.333333333,0,,,
3-Jul,2,0,0,0,0,0,0,0,0,0,,8,,24,,1,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,0.333333333,0,,,
3-Jul,3,0,0,0,0,0,0,0,0,0,0,8,24,24,72,1,3,3,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.333333333,0,0,0,N/A
4-Jul,1,0,0,0,0,0,0,0,0,0,,8,,24,,1,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,0.333333333,0,,,
4-Jul,2,0,0,0,0,0,0,0,0,0,,8,,24,,1,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,0.333333333,0,,,
4-Jul,3,0,0,0,0,0,0,0,0,0,0,8,24,24,72,1,3,3,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.333333333,0,0,0,N/A
5-Jul,1,0,0,0,0,0,0,0,0,0,,8,,24,,1,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,0.333333333,0,,,
5-Jul,2,0,0,0,0,0,0,0,0,0,,8,,24,,1,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,0.333333333,0,,,
5-Jul,3,0,0,0,0,,0,0,0,0,0,7,23,24,72,1,3,3,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.291666667,0,0,0,N/A
6-Jul,1,0,0,0,0,0,0,0,0,0,,8,,24,,1,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,0.333333333,0,,,
6-Jul,2,0,0,0,0,0,0,0,0,0,,8,,24,,1,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,0.333333333,0,,,
6-Jul,3,0,,0,0,,0,0,0,0,0,6,22,24,72,1,3,3,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.25,0,0,0,N/A
7-Jul,1,0,0,0,0,0,0,0,0,0,,8,,24,,1,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,0.333333333,0,,,
7-Jul,2,0,0,0,0,0,0,0,0,0,,8,,24,,1,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,0.333333333,0,,,
7-Jul,3,0,0,0,0,,0,0,0,0,0,7,23,24,72,1,3,3,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.291666667,0,0,0,N/A
8-Jul,1,0,2,1,0,0,0,0,0,3,,8,,24,,1,,,9,,,4,1,1,0,0,0,0,6,0.428571429,25,,,,0.333333333,20.57142857,,,
8-Jul,2,0,0,0,0,0,0,0,0,0,,8,,24,,1,,,0,,,0,0,0,0,0,0,0,0,0,16,,,,0.333333333,0,,,
8-Jul,3,0,0,0,0,0,0,1,0,1,4,8,24,24,72,1,3,3,3,4.00,12,0,0,0,0,0,1,1,2,0.142857143,1,21,1,0,0.333333333,6.857142857,27.42857143,5.237229366,43.64%
9-Jul,1,0,0,4,0,0,0,0,0,4,,8,,24,,1,,,12,,,0,16,16,0,0,0,0,32,2.285714286,25,,,,0.333333333,109.7142857,,,
9-Jul,2,0,0,0,0,0,0,0,,0,,7,,24,,1,,,0,,,0,0,0,0,0,0,0,0,0,49,,,,0.291666667,0,,,
9-Jul,3,1,0,0,1,0,1,0,0,3,7,8,23,24,72,1,3,3,9,7.00,21,1,0,1,1,1,1,0,5,0.357142857,4,39,1,0,0.333333333,17.14285714,126.8571429,11.26308763,53.63%
10-Jul,1,0,,,0,0,0,0,0,0,,6,,24,,1,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,0.25,0,,,
10-Jul,2,0,0,0,0,0,0,0,0,0,,8,,24,,1,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,0.333333333,0,,,
10-Jul,3,,,,,,,,,0,0,0,14,24,72,0,2,3,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.666666667,0,0,0,0,0,N/A
11-Jul,1,,,,,,,,,0,,0,,24,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,,,
11-Jul,2,,0,0,0,1,0,0,0,1,,7,,24,,1,,,3,,,0,0,0,1,1,0,0,2,0.166666667,18.36734694,,,,0.291666667,9.714285714,,,
11-Jul,3,0,1,1,,,,,0,2,3,4,11,24,72,1,2,3,12,7.71,23,1,0,0,0,0,0,0,1,0.166666667,18.36734694,36.73469388,0.666666667,55.10204082,0.166666667,20,99.67346939,9.98366012,43.14%
12-Jul,1,,,,0,1,0,0,1,2,,5,,24,,1,,,10,,,0,0,0,1,1,0,1,3,0.375,12.96,,,,0.208333333,34.2,,,
12-Jul,2,0,0,0,1,1,0,0,0,2,,8,,24,,1,,,6,,,0,0,1,0,1,0,0,2,0.142857143,51.84,,,,0.333333333,6.857142857,,,
12-Jul,3,3,0,1,0,,,0,2,6,10,6,19,24,72,1,3,3,24,13.20,40,9,1,1,0,0,0,4,15,1.5,116.64,90.72,1,0,0.25,108,149.0571429,12.20889605,30.83%
13-Jul,1,0,0,,0,0,1,0,0,1,,7,,24,,1,,,3,,,0,0,0,1,1,0,0,2,0.166666667,34.97877551,,,,0.291666667,9.714285714,,,
13-Jul,2,1,0,0,1,0,0,3,0,5,,8,,24,,1,,,15,,,1,0,1,1,0,9,9,21,1.5,32.00326531,,,,0.333333333,72,,,
13-Jul,3,0,0,0,2,,0,,,2,8,5,20,24,72,1,3,3,10,9.34,28,0,0,4,0,0,0,0,4,0.5,0.066122449,33.52408163,1,0,0.208333333,45.6,127.3142857,11.28336323,40.26%
14-Jul,1,0,1,1,0,1,0,0,0,3,,8,,24,,1,,,9,,,1,0,1,1,1,0,0,4,0.285714286,20.25,,,,0.333333333,13.71428571,,,
14-Jul,2,0,0,0,0,0,0,0,0,0,,8,,24,,1,,,0,,,0,0,0,0,0,0,0,0,0,20.25,,,,0.333333333,0,,,
14-Jul,3,,,,,,,,,0,3,0,16,24,72,0,2,3,0,4.50,14,0,0,0,0,0,0,0,0,0,0,40.5,0.666666667,60.75,0,0,81.32142857,9.017839463,66.80%
15-Jul,1,1,1,0,0,1,0,0,1,4,,8,,24,,1,,,12,,,0,1,0,1,1,0,1,4,0.285714286,1,,,,0.333333333,13.71428571,,,
15-Jul,2,0,0,0,0,0,0,1,0,1,,8,,24,,1,,,3,,,0,0,0,0,0,1,1,2,0.142857143,100,,,,0.333333333,6.857142857,,,
15-Jul,3,0,0,0,4,3,0,0,1,8,13,8,24,24,72,1,3,3,24,13.00,39,0,0,16,1,9,0,1,27,1.928571429,121,111,1,0,0.333333333,92.57142857,113.1428571,10.63686313,27.27%
16-Jul,1,0,0,0,2,0,0,1,0,3,,8,,24,,1,,,9,,,0,0,4,4,0,1,1,10,0.714285714,13.79591837,,,,0.333333333,34.28571429,,,
16-Jul,2,0,0,0,0,0,0,0,0,0,,8,,24,,1,,,0,,,0,0,0,0,0,0,0,0,0,27.93877551,,,,0.333333333,0,,,
16-Jul,3,0,0,0,,0,2,0,0,2,5,7,23,24,72,1,3,3,7,5.29,16,0,0,0,0,4,4,0,8,0.666666667,2.469387755,22.10204082,1,0,0.291666667,38.85714286,73.14285714,8.552359741,53.93%
17-Jul,1,0,3,1,0,1,0,1,0,6,,8,,24,,1,,,18,,,9,4,1,1,1,1,1,18,1.285714286,9,,,,0.333333333,61.71428571,,,
17-Jul,2,0,0,0,0,3,0,0,1,4,,8,,24,,1,,,12,,,0,0,0,9,0,0,1,10,0.714285714,9,,,,0.333333333,34.28571429,,,
17-Jul,3,,,,,,,,,0,10,0,16,24,72,0,2,3,0,15.00,45,0,0,0,0,0,0,0,0,0,0,18,0.666666667,27,0,0,171,13.07669683,29.06%
18-Jul,1,,,,,,,,,0,,0,,24,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,,,
18-Jul,2,1,0,0,0,0,1,0,0,2,,8,,24,,1,,,6,,,1,0,0,0,1,1,0,3,0.214285714,121,,,,0.333333333,10.28571429,,,
18-Jul,3,0,0,0,0,,,0,7,7,9,6,14,24,72,1,2,3,28,17.00,51,0,0,0,0,0,0,49,49,4.9,121,242,0.666666667,363,0.25,352.8,907.6285714,30.12687457,59.07%
19-Jul,1,0,1,0,0,0,1,1,0,3,,8,,24,,1,,,9,,,1,1,0,0,1,0,1,4,0.285714286,4,,,,0.333333333,13.71428571,,,
19-Jul,2,0,0,1,0,4,0,0,0,5,,8,,24,,1,,,15,,,0,1,1,16,16,0,0,34,2.428571429,16,,,,0.333333333,116.5714286,,,
19-Jul,3,0,0,0,0,1,1,0,1,3,11,8,24,24,72,1,3,3,9,11.00,33,0,0,0,1,0,1,1,3,0.214285714,4,12,1,0,0.333333333,10.28571429,140.5714286,11.85628224,35.93%
20-Jul,1,2,,4,0,0,0,,,6,,5,,24,,1,,,29,,,0,0,16,0,0,0,0,16,2,27.04,,,,0.208333333,182.4,,,
20-Jul,2,2,0,0,2,4,0,0,0,8,,8,,24,,1,,,24,,,4,0,4,4,16,0,0,28,2,0.16,,,,0.333333333,96,,,
20-Jul,3,0,0,1,2,1,1,0,1,6,20,8,21,24,72,1,3,3,18,23.60,71,0,1,1,1,0,1,1,5,0.357142857,31.36,29.28,1,0,0.333333333,17.14285714,295.5428571,17.19135996,24.28%
21-Jul,1,,5,2,1,0,1,0,2,11,,7,,24,,1,,,38,,,0,9,1,1,1,1,4,17,1.416666667,147.4489796,,,,0.291666667,82.57142857,,,
21-Jul,2,1,1,0,2,0,0,0,0,4,,8,,24,,1,,,12,,,0,1,4,4,0,0,0,9,0.642857143,184.1836735,,,,0.333333333,30.85714286,,,
21-Jul,3,2,0,0,1,1,0,5,0,9,24,8,23,24,72,1,3,3,27,25.57,77,4,0,1,0,1,25,25,56,4,2.040816327,166.8367347,1,0,0.333333333,192,305.4285714,17.47651485,22.78%
22-Jul,1,1,6,3,0,0,0,2,1,13,,8,,24,,1,,,39,,,25,9,9,0,0,4,1,48,3.428571429,36,,,,0.333333333,164.5714286,,,
22-Jul,2,1,3,0,1,6,4,0,0,15,,8,,24,,1,,,45,,,4,9,1,25,4,16,0,59,4.214285714,0,,,,0.333333333,202.2857143,,,
22-Jul,3,0,0,0,3,2,6,2,4,17,45,8,24,24,72,1,3,3,51,45.00,135,0,0,9,1,16,16,4,46,3.285714286,36,36,1,0,0.333333333,157.7142857,524.5714286,22.90352437,16.97%
23-Jul,1,0,7,0,5,1,0,5,1,19,,8,,24,,1,,,57,,,49,49,25,16,1,25,16,181,12.92857143,468.4132653,,,,0.333333333,620.5714286,,,
23-Jul,2,,,,,,,,,0,,0,,24,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,,,
