SALCHA CHINOOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1993,,1994,,1995,,1996,,1997,,1998,,1999,,2000,,2001,,2002,,2003,,2004,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,,2019,,2020,,2021,,2022,,2023,,2024,
,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand
Date,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum
23-Jun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,v,,,,,,,,,,
24-Jun,,,,,,,,,,,,,,,,,,,,,0,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,v,,,,,,,,,,
25-Jun,,,,,,,,,,,,,,,,,,,,,0,v,9,v,,,,,,,,,,,,,,,,,,,,,,,,,0,v,,,0,v,,,,,,,,,,
26-Jun,,,,,,,,,18,v,0,v,,,,,,,,,42,v,15,v,,,,,,,,,,,,,,,,,,,,,,,9,v,0,v,,,15,v,,,,,,,,,,
27-Jun,,,,,,,,,0,v,0,v,,,,,,,,,150,v,9,v,,,,,,,,,,,,,,,,,,,,,,,0,v,0,v,,,3,v,,,,,,,,,,
28-Jun,,,,,,,,,63,v,0,v,,,,,,,,,30,v,3,v,,,,,,,,,,,,,,,,,,,,,,,6,v,0,v,,,3,v,,,,,,,,,0,v
29-Jun,,,,,,,,,27,v,0,v,,,,,,,9,v,156,v,33,v,,,,,,,,,,,,,,,,,,,,,,,18,v,3,v,,,6,v,,,,,,,,,0,v
30-Jun,,,,,,,,,0,v,0,v,,,0,v,,,66,v,114,v,42,v,0,v,,,0,v,,,,,,,,,,,,,,,,,75,v,41,v,,,24,v,,,0,v,,,,,0,v
1-Jul,63,v,,,,,,,27,v,18,v,,,0,v,0,v,156,v,165,v,12,v,6,v,,,0,v,,,,,0,v,,,,,,,,,,,114,v,27,v,,,0,v,,,30,v,0,v,,,0,v
2-Jul,72,v,,,,,,,324,v,0,v,,,0,v,0,v,123,v,99,v,18,v,12,v,,,15,v,,,,,0,v,,,,,,,,,,,111,v,54,v,,,15,v,,,30,v,0,v,,,0,v
3-Jul,41,v,,,,,,,90,v,48,v,,,0,v,0,v,126,v,159,v,3,v,33,v,,,3,v,,,,,0,v,,,,,,,,,,,111,v,18,v,,,48,v,,,33,v,0,v,,,0,v
4-Jul,78,v,,,,,,,45,v,90,v,,,3,v,0,v,,0,42,v,30,v,54,v,,,0,v,,,,,0,v,,,,,,,,,,,95,s,30,0,,,12,v,,,33,v,3,v,,,0,v
5-Jul,9,v,0,v,0,v,,,63,v,9,v,,,6,v,6,v,,0,291,v,204,v,33,v,,,15,v,0,v,,,0,v,,,,,,,,,,,33,s,14,0,,,33,v,,,90,v,0,v,,,3,v
6-Jul,158,v,15,v,18,v,,,180,v,144,v,0,v,36,v,21,v,,0,510,v,369,0,39,v,18,v,0,v,111,v,24,v,0,v,,,,,,,,,,,29,s,18,v,,,96,v,,,69,v,0,v,0,v,99,s
7-Jul,264,v,33,v,45,v,,,520,v,65,v,0,v,42,v,35,0,,0,663,v,0,0,39,v,12,v,6,v,108,v,39,v,0,v,,,,,,,,,,,49,s,7,v,,,84,v,,,135,v,0,v,16,v,42,s
8-Jul,300,v,48,v,228,v,414,n,612,v,234,v,0,v,12,v,83,0,,0,870,v,14,0,219,v,0,v,13,0,141,v,96,v,0,v,,,,,,,,,,,48,s,29,v,,,36,v,,,122,v,0,v,3,v,36,s
9-Jul,347,v,63,v,150,v,474,n,1782,v,130,0,0,v,45,v,201,0,,0,945,v,195,v,48,v,0,v,25,0,168,v,207,v,15,v,,,,,0,v,,,,,152,s,149,v,,,60,v,,,36,v,9,v,3,v,41,s
10-Jul,212,v,347,v,607,v,288,n,726,v,28,v,3,v,174,v,113,v,,0,1929,v,639,v,144,v,54,v,41,0,192,v,138,v,21,v,,,,,9,v,,,,,348,s,255,v,,,48,v,,,72,v,1,0,3,v,69,s
11-Jul,663,v,383,v,612,v,,0,1032,v,138,v,39,v,86,v,192,v,,0,1542,v,912,v,144,v,42,v,80,0,135,v,234,v,57,v,,,,,9,v,,,,,279,v,203,v,,,57,v,,,54,v,2,0,39,v,0,v
12-Jul,900,v,387,v,864,v,,0,954,v,243,v,63,v,,0,477,v,,0,966,v,1500,v,150,v,51,v,42,v,156,0,246,v,81,v,,,,,12,v,,,1008,v,210,v,216,0,,,48,v,,,120,v,2,0,118,v,111,s
13-Jul,896,v,1518,v,1278,v,,0,1085,v,330,v,21,v,,0,657,v,63,0,774,v,876,v,213,v,86,0,63,v,107,0,519,v,102,v,,,,,103,v,,,678,v,42,v,193,0,,,18,v,,,138,v,3,0,54,v,,
14-Jul,576,v,1686,v,912,v,,0,846,v,162,v,36,v,,0,519,v,36,0,1029,v,2094,v,180,v,184,0,93,v,141,v,918,v,81,v,,,,,18,v,0,0,660,v,241,v,189,s,,,60,v,,,138,v,5,0,114,v,,
15-Jul,582,v,1778,v,276,v,216,n,1566,v,27,v,84,v,,0,180,v,320,v,1282,v,756,v,198,v,321,0,198,v,45,v,984,v,96,v,0,0,,,282,v,0,0,672,v,201,v,186,v,,,69,v,,,63,v,7,0,113,v,140,s
16-Jul,590,v,1126,v,682,0,264,n,1328,0,261,v,246,v,,0,477,v,318,v,,0,558,v,600,v,414,0,213,v,318,v,174,v,267,v,0,0,,,336,v,,,300,v,36,v,63,v,,,219,v,,,113,v,10,0,156,v,117,s
17-Jul,257,v,385,v,533,0,252,n,1090,v,299,v,192,v,423,v,537,v,483,v,,0,624,v,336,v,462,v,237,v,207,v,165,v,459,v,234,v,115,v,348,v,,,270,v,130,v,137,0,,,165,v,,,78,v,13,0,103,v,57,v
18-Jul,240,v,1503,v,284,v,330,n,858,v,68,v,399,v,483,v,825,v,399,v,,0,1098,v,699,v,864,v,510,v,528,v,807,v,876,v,0,0,249,v,336,v,,,348,v,22,s,210,v,,,318,v,,,101,v,17,0,90,v,32,v
19-Jul,1013,v,738,v,662,v,330,n,1104,v,123,0,294,v,81,v,801,v,672,v,,0,885,v,621,v,1245,v,489,v,321,v,435,v,231,v,0,0,453,v,528,v,,,315,v,78,s,36,v,,,177,v,,,23,v,22,0,126,v,9,v
20-Jul,432,v,963,v,582,v,99,n,487,v,180,v,855,v,159,v,732,v,438,v,,0,696,v,171,v,648,v,444,v,0,0,852,v,189,v,297,v,411,v,135,v,,,99,0,61,s,90,v,,,150,v,,,63,v,29,0,144,v,85,v
21-Jul,588,v,1203,v,432,v,174,n,690,0,264,v,984,v,237,v,828,v,252,0,,,672,v,201,v,291,v,747,v,0,0,534,v,387,v,400,0,171,v,303,v,,,216,0,48,s,501,v,,,147,v,,,67,v,27,v,96,v,45,v
22-Jul,396,v,621,v,630,v,228,n,619,0,396,v,546,v,156,v,1425,v,,0,,,1014,v,276,v,915,v,729,v,0,0,1032,v,498,v,400,0,198,v,383,v,,,192,0,34,s,192,v,,,174,v,,,60,v,33,v,49,v,109,v
23-Jul,378,v,720,v,501,v,162,n,481,0,396,v,453,v,180,v,1191,v,204,0,,,1161,v,201,v,600,v,498,v,0,0,660,v,270,v,477,v,333,v,464,v,,,233,v,28,s,189,v,,,159,v,,,62,v,54,v,26,v,39,v
24-Jul,195,v,1050,v,1485,v,,0,310,v,318,0,456,v,183,v,,,468,0,,,237,0,96,v,564,v,441,0,0,0,540,v,375,v,400,0,726,v,246,v,,,243,v,22,s,213,v,,,174,v,,,30,v,75,v,39,v,60,v
25-Jul,194,v,1085,v,594,v,108,n,194,v,266,0,825,v,159,v,,,312,v,,,249,0,210,v,1623,v,227,0,0,0,411,v,102,v,475,v,597,v,291,v,,,186,v,14,s,225,v,,,165,v,,,31,v,21,v,12,v,45,v
26-Jul,54,v,486,v,402,v,54,n,126,v,185,0,774,v,111,v,,,123,0,,,267,v,69,v,1482,v,96,v,0,0,951,v,258,v,360,v,738,v,330,v,,,192,v,11,s,175,0,,,172,v,,,32,v,33,v,16,v,36,v
27-Jul,131,v,684,v,382,v,42,n,180,v,216,v,559,0,114,v,,,,0,,,114,v,72,v,417,v,87,v,0,0,597,v,120,v,158,v,984,v,408,v,,,223,v,1,0,129,0,,,98,v,,,42,v,45,v,10,v,36,v
28-Jul,87,v,563,v,381,v,18,n,216,v,60,v,512,0,192,v,,,45,0,,,117,v,63,v,345,v,129,v,53,v,588,v,168,v,250,0,651,v,381,v,,,151,0,4,0,86,v,,,117,v,,,18,v,41,v,14,v,6,v
29-Jul,50,v,306,v,266,v,,,180,v,72,v,456,0,120,v,,,18,v,,,66,v,45,v,183,v,150,v,0,v,258,v,108,v,200,0,453,v,120,v,,,105,0,5,0,77,v,,,197,v,,,35,v,81,v,28,v,,
30-Jul,32,v,255,v,183,v,,,168,v,53,0,316,0,18,v,,,14,v,,,84,v,132,v,78,v,138,v,0,v,162,v,189,v,150,0,216,v,57,v,,,57,0,1,0,63,v,,,366,v,,,26,v,72,v,13,v,,
31-Jul,57,v,153,v,207,v,,,174,v,36,v,288,0,39,v,,,,,,,42,v,144,v,90,v,147,v,0,v,210,v,135,v,100,0,219,v,51,v,,,5,v,5,0,57,v,,,183,v,,,21,v,126,v,0,v,,
1-Aug,45,v,27,v,165,v,,,36,v,63,v,219,v,12,v,,,,,,,36,v,138,v,51,v,123,v,0,v,261,v,78,v,45,v,123,v,54,v,,,0,v,1,0,50,v,,,297,v,,,18,v,41,v,0,v,,
2-Aug,32,v,90,v,60,v,,,18,v,9,v,174,v,51,v,,,,,,,15,0,129,v,30,v,105,v,0,v,249,v,81,v,83,v,102,v,33,v,,,0,v,1,0,26,v,,,114,0,,,28,v,51,v,0,v,,
3-Aug,27,v,54,v,54,v,,,75,v,42,v,123,v,12,v,,,,,,,3,0,90,v,30,v,30,v,0,v,96,v,72,v,25,v,159,v,78,v,,,3,v,1,0,19,v,,,107,0,,,23,v,46,v,0,v,,
4-Aug,14,v,32,v,33,v,,,6,v,12,v,39,v,6,v,,,,,,,30,0,33,0,60,v,108,v,0,v,114,v,93,v,78,v,60,v,87,v,,,27,v,-1,0,27,v,,,103,0,,,24,v,57,v,0,v,,
5-Aug,14,v,9,v,46,v,,,38,v,18,v,72,v,0,v,,,,,,,12,v,18,v,6,v,120,v,0,v,60,v,66,v,90,v,45,v,21,v,,,60,v,2,0,,,,,97,0,,,9,v,21,v,,,,
6-Aug,9,v,21,v,33,0,,,38,v,6,v,0,v,0,v,,,,,,,9,v,51,v,6,v,63,v,0,v,33,v,24,v,54,v,42,v,6,v,,,45,v,,,,,,,95,0,,,0,v,19,v,,,,
7-Aug,9,v,32,v,20,0,,,20,v,6,v,33,v,0,v,,,,,,,6,v,24,v,12,v,,,0,v,18,v,18,v,48,v,60,v,3,v,,,0,v,,,,,,,86,0,,,6,v,57,v,,,,
8-Aug,,,14,v,21,0,,,,,12,v,30,v,0,v,,,,,,,3,v,15,v,0,v,,,0,v,111,v,72,v,22,v,42,v,12,v,,,0,v,,,,,,,87,0,,,0,v,26,v,,,,
9-Aug,,,18,v,0,v,,,,,0,v,45,0,0,v,,,,,,,0,v,6,v,3,v,,,0,v,30,v,117,v,27,v,12,v,6,v,,,0,v,,,,,,,80,0,,,0,v,49,v,,,,
10-Aug,,,3,v,0,v,,,,,,,28,0,0,v,,,,,,,9,v,27,v,0,v,,,0,v,21,v,81,v,27,v,9,v,6,v,,,,,,,,,,,80,0,,,9,v,27,v,,,,
11-Aug,,,5,v,10,v,,,,,,,20,0,0,v,,,,,,,3,v,3,v,0,v,,,0,v,,,75,v,14,v,-3,v,0,v,,,,,,,,,,,,,,,,,36,v,,,,
12-Aug,,,0,v,0,v,,,,,,,12,0,0,v,,,,,,,0,v,0,v,0,v,,,0,v,,,132,v,20,0,0,v,6,v,,,,,,,,,,,,,,,,,26,v,,,,
13-Aug,,,,,5,v,,,,,,,3,v,,,,,,,,,3,v,6,v,0,v,,,0,v,,,33,v,20,0,0,v,3,v,,,,,,,,,,,,,,,,,15,v,,,,
14-Aug,,,,,0,v,,,,,,,0,v,,,,,,,,,6,v,3,v,-3,v,,,0,v,,,45,v,12,0,0,v,0,v,,,,,,,,,,,,,,,,,21,v,,,,
15-Aug,,,,,,,,,,,,,0,v,,,,,,,,,0,v,6,v,0,v,,,0,v,,,63,v,,,0,v,,,,,,,,,,,,,,,,,,,18,v,,,,
16-Aug,,,,,,,,,,,,,0,v,,,,,,,,,3,v,0,v,0,v,,,0,v,,,,,,7200,0,v,,,,,,,,,,,,,,,,,,,0,v,,,,
17-Aug,,,,,,,,,,,,,0,v,,,,,,,,,3,v,3,v,0,v,,,0,v,,,,,,,0,v,,,,,,,,,,,,,,,,,,,6,v,,,,
18-Aug,,,,,,,,,,,,,0,v,,,,,,,,,0,v,0,v,0,v,,,0,v,,,,,,,0,v,,,,,,,,,,,,,,,,,,,0,v,,,,
19-Aug,,,,,,,,,,,,,0,v,,,,,,,,,0,v,0,v,,,,,0,v,,,,,,,0,v,,,,,,,,,,,,,,,,,,,,,,,,
20-Aug,,,,,,,,,,,,,0,v,,,,,,,,,0,v,0,v,,,,,0,v,,,,,,,0,v,,,,,,,,,,,,,,,,,,,,,,,,
21-Aug,,,,,,,,,,,,,0,v,,,,,,,,,3,v,0,v,,,,,0,v,,,,,,,0,v,,,,,,,,,,,,,,,,,,,,,,,,
22-Aug,,,,,,,,,,,,,0,v,,,,,,,,,0,v,0,v,,,,,0,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23-Aug,,,,,,,,,,,,,0,v,,,,,,,,,0,v,0,v,,,,,0,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-Aug,,,,,,,,,,,,,0,v,,,,,,,,,0,v,0,v,,,,,0,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-Aug,,,,,,,,,,,,,0,v,,,,,,,,,0,v,0,v,,,,,0,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26-Aug,,,,,,,,,,,,,0,v,,,,,,,,,0,v,,,,,,,0,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27-Aug,,,,,,,,,,,,,0,v,,,,,,,,,0,v,,,,,,,0,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-Aug,,,,,,,,,,,,,0,v,,,,,,,,,0,v,,,,,,,0,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29-Aug,,,,,,,,,,,,,0,v,,,,,,,,,0,v,,,,,,,0,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-Aug,,,,,,,,,,,,,0,v,,,,,,,,,0,v,,,,,,,0,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31-Aug,,,,,,,,,,,,,,,,,,,,,,,0,v,,,,,,,0,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Sep,,,,,,,,,,,,,,,,,,,,,,,0,v,,,,,,,0,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-Sep,,,,,,,,,,,,,,,,,,,,,,,0,v,,,,,,,0,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-Sep,,,,,,,,,,,,,,,,,,,,,,,0,v,,,,,,,0,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-Sep,,,,,,,,,,,,,,,,,,,,,,,0,v,,,,,,,0,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-Sep,,,,,,,,,,,,,,,,,,,,,,,0,v,,,,,,,0,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6-Sep,,,,,,,,,,,,,,,,,,,,,,,0,v,,,,,,,0,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7-Sep,,,,,,,,,,,,,,,,,,,,,,,0,v,,,,,,,0,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8-Sep,,,,,,,,,,,,,,,,,,,,,,,0,v,,,,,,,0,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9-Sep,,,,,,,,,,,,,,,,,,,,,,,0,v,,,,,,,0,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-Sep,,,,,,,,,,,,,,,,,,,,,,,0,v,,,,,,,0,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-Sep,,,,,,,,,,,,,,,,,,,,,,,0,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-Sep,,,,,,,,,,,,,,,,,,,,,,,0,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-Sep,,,,,,,,,,,,,,,,,,,,,,,0,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-Sep,,,,,,,,,,,,,,,,,,,,,,,0,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
